name,email,title
ESDM Nantes - NANTES,contact@esdm-formation.fr,ESDM Nantes (École Supérieure de Développement & de Management)
ESI Business School -PARIS,admission-esi@groupe-gema.com,"ESI Business School (L'Ecole de commerce du développement durable - 100% Green, Social & Digital Business)"
ESI Business School - Aix-en-Provence,admission-esi@groupe-gema.com,"ESI Business School (L'Ecole de commerce du développement durable - 100% Green, Social & Digital Business)"
ESI Business School - Bordeaux,admission-esi@groupe-gema.com,"ESI Business School (L'Ecole de commerce du développement durable - 100% Green, Social & Digital Business)"
ESI Business School - Lille,admission-esi@groupe-gema.com,"ESI Business School (L'Ecole de commerce du développement durable - 100% Green, Social & Digital Business)"
ESI Business School - Lyon,admission-esi@groupe-gema.com,"ESI Business School (L'Ecole de commerce du développement durable - 100% Green, Social & Digital Business)"
ESI Business School - Nantes,admission-esi@groupe-gema.com,"ESI Business School (L'Ecole de commerce du développement durable - 100% Green, Social & Digital Business)"
Campus Fonderie de l'Image - BAGNOLET,secretariat@campusfonderiedelimage.org,Campus Fonderie de l'Image
PARIS - ST LAZARE,admissionpb-paris@euridis-ecole.eu,Euridis Business School (Commerce - Vente - Négociation)
AIX - MARSEILLE PAUL CÉZANNE,admission-aix@euridis-ecole.eu,Euridis Business School (Commerce - Vente - Négociation)
BORDEAUX,admission-bordeaux@euridis-ecole.eu,Euridis Business School (Commerce - Vente - Négociation)
LILLE,admissionpb-lille@euridis-ecole.eu (post-bac) - admissionpb2-lille@euridis-ecole.eu (post-bac+2),Euridis Business School (Commerce - Vente - Négociation)
Euridis Business School - LYON,admission-lyon@euridis-ecole.eu,Euridis Business School (Commerce - Vente - Négociation)
NANTES,admission-nantes@euridis-ecole.eu,Euridis Business School (Commerce - Vente - Négociation)
Euridis Business School - TOULOUSE,admission-toulouse@euridis-ecole.eu,Euridis Business School (Commerce - Vente - Négociation)
Centre Pierre Cointreau - CCI Formation Angers,formation@maineetloire.cci.fr,"CCI Formation (Centre de Formation d’Apprentis de la Chambre de Commerce et d’Industrie de Maine-et-Loire à Angers, Cholet et Saumur)"
ISTOM ANGERS,contact@istom.fr,"ISTOM Angers : S'inscrire, Cursus, Formation"
3iL Ingénieurs Limoges,contact@3il.fr,3iL Ingénieurs (3iL Ecole d'ingénieurs en Informatique)
Campus du Lac : Campus de Bordeaux,contact@campusdulac.com,Campus du Lac
Campus Le Havre,info@em-normandie.fr,"EM Normandie (Old School, Young Mind)"
